,x_cavity_freq,y_mod
0,200.0,8301.575515433848
1,201.49,8275.310788669587
2,202.99,11835.981250873681
3,204.48,11896.25302851541
4,205.97,8245.714464946956
5,207.46,8196.62096502199
6,208.96,8482.488504385561
7,210.45,8293.742456693772
8,211.94,11713.104965757557
9,213.43,8230.090014247473
10,214.93,8314.382534066921
11,216.42,8218.187283453619
12,217.91,8267.917965734498
13,219.4,171.16722057890726
14,220.9,159.2162939829331
15,222.39,8236.851163358919
16,223.88,11666.360926973743
17,225.37,8223.239672276506
18,226.87,8362.434219376533
19,228.36,11824.83475090262
20,229.85,11811.05291243083
21,231.34,8337.802499391311
22,232.84,11829.107997525722
23,234.33,8316.53060924936
24,235.82,52.65766643817135
25,237.31,8193.42186207839
26,238.81,37.11083411584773
27,240.3,8269.19357870436
28,241.79,8386.959252262446
29,243.28,8218.266888842118
30,244.78,11657.395453899459
31,246.27,8210.286120312037
32,247.76,8258.218592279112
33,249.25,8282.719534932969
34,250.75,8283.747639774394
35,252.24,11662.610832591283
36,253.73,8384.221033583352
37,255.22,11681.040936592563
38,256.72,11665.438812084562
39,258.21,11592.05716747936
40,259.7,11751.499300466185
41,261.19,8323.81107448753
42,262.69,8215.292245894598
43,264.18,11645.05662552452
44,265.67,11739.466874253276
45,267.16,8209.519686355141
46,268.66,11832.692980846963
47,270.15,8318.831447083654
48,271.64,8358.801591367543
49,273.13,8239.54531201437
50,274.63,8311.577246824694
51,276.12,11723.716461476464
52,277.61,243.39598659399152
53,279.1,8318.609222876963
54,280.6,8200.43009057168
55,282.09,8272.483627372034
56,283.58,175.2510294472476
57,285.07,8269.481496656237
58,286.57,251.42467614518952
59,288.06,11686.032905686852
60,289.55,11658.348944948784
61,291.04,166.12556456316403
62,292.54,139.19992436512533
63,294.03,256.3851074236812
64,295.52,11697.218504648921
65,297.01,8352.634513262874
66,298.51,11808.294266201841
67,300.0,8258.77351456086
